method,sequence,frames,mean_iou,success_auc,precision_20,mean_cle,invalid_pred_count,invalid_gt_count,valid_eval_frames
fixed_tele,person21,163,0.12863765281916534,0.13618417056429571,0.22085889570552147,172.4869022063854,0,0,163
fixed_tele,person22,67,0.8541570882416566,0.850746268656716,1.0,1.016128327000242,0,0,67
fixed_tele,person23,133,0.007518796992481203,0.017345343556912137,0.007518796992481203,435.6623115286505,0,0,133
fixed_tele,person2_s,84,0.8190475388006225,0.816242338519566,0.9047619047619048,7.460416946677414,0,0,84
fixed_tele,person3,215,0.8410923247918191,0.837669813492977,1.0,2.46973361995475,0,0,215
fixed_tele,person3_s,169,0.27003485120824106,0.2745913644618901,0.14201183431952663,166.7534253770274,0,0,169
fixed_tele,person6,301,0.8656948258085025,0.862076905364955,1.0,1.8812724574243764,0,0,301
fixed_tele,person9,221,0.05726010752795057,0.06630527306124273,0.06787330316742081,54887.659784489486,0,12,209
fixed_tele,truck1,155,0.7349751964549173,0.7326732673267325,0.6838709677419355,24.00119941353102,0,0,155
fixed_tele,truck2,129,0.020844458896436567,0.030470488909356087,0.023255813953488372,520.0281464102803,0,0,129
fixed_tele,truck3,179,0.012772749431097493,0.02245699430278225,0.0223463687150838,466.9109563284165,0,0,179
fixed_tele,uav2,45,0.022222222222222223,0.03190319031903183,0.06666666666666667,111179.19931802305,0,5,40
fixed_tele,uav3,89,0.02347408616977459,0.03281788853042611,0.10112359550561797,235.18234536929222,0,0,89
fixed_tele,uav4,53,0.018867924528301886,0.028582103493368302,0.11320754716981132,68.32781690621104,0,0,53
fixed_tele,uav5,47,0.02127659574468085,0.030966926479882067,0.02127659574468085,194.96724361978082,0,0,47
fixed_tele,uav6,37,0.039957604663487016,0.0492373561680493,0.08108108108108109,27196.164491904536,0,1,36
fixed_tele,uav7,125,0.008603351955307263,0.018376237623762382,0.016,40105.854567509414,0,5,120
fixed_tele,uav8,101,0.009900990099009901,0.01970395059307912,0.009900990099009901,388.3869065583664,0,0,101
fixed_tele,wakeboard1,141,0.8011082793868265,0.7979074503195003,0.9361702127659575,6.937034555803392,0,0,141
fixed_tele,wakeboard10,157,0.696946496921094,0.6950242794980136,1.0,2.9641059836772006,0,0,157
fixed_tele,wakeboard2,245,0.19686152039359778,0.20367751060820397,0.24081632653061225,529.5379578307457,0,0,245
fixed_tele,wakeboard3,275,0.1583417575802593,0.16561656165616567,0.22181818181818183,395.47927134585984,0,0,275
fixed_tele,wakeboard4,233,0.00482287460935275,0.014660264309692842,0.004291845493562232,545.7491191811002,0,0,233
