frame,zoom_level,uncertainty,area,conf,lost,latency,command
182,4,0.074905,0.00454898,0.804364,0,0.016148,keep
183,4,0.075343,0.00466531,0.849929,0,0.015727,keep
184,4,0.088490,0.00460403,0.838468,0,0.016042,keep
185,4,0.088934,0.00490784,0.832115,0,0.015673,keep
186,4,0.068975,0.00551500,0.861844,0,0.015882,keep
187,4,0.078638,0.00513557,0.864070,0,0.017138,keep
188,4,0.097917,0.00485505,0.836965,0,0.016301,keep
189,4,0.052316,0.00495918,0.891767,0,0.016464,keep
190,4,0.073510,0.00458738,0.867760,0,0.017300,keep
191,4,0.087573,0.00439389,0.839708,0,0.016540,keep
192,4,0.088016,0.00417411,0.838031,0,0.015750,keep
193,4,0.066769,0.00397259,0.849713,0,0.016012,keep
194,4,0.102350,0.00380273,0.768999,0,0.015650,keep
195,4,0.110915,0.00425774,0.782120,0,0.015467,keep
196,4,0.104539,0.00462778,0.772033,0,0.015224,keep
197,4,0.200438,0.00377022,0.589109,0,0.015948,keep
198,4,0.293571,0.00341496,0.236029,0,0.016078,keep
199,4,0.159332,0.00413045,0.761628,0,0.015844,keep
200,4,0.169308,0.00433106,0.688638,0,0.015781,keep
201,4,0.163225,0.00426713,0.776732,0,0.015746,keep
202,4,0.084405,0.00435238,0.836094,0,0.015542,keep
203,4,0.067477,0.00429235,0.849300,0,0.015481,keep
204,4,0.141528,0.00463374,0.625632,0,0.015761,keep
205,4,0.076396,0.00503409,0.854674,0,0.016081,keep
206,4,0.063306,0.00491711,0.883665,0,0.016065,keep
207,4,0.089899,0.00471866,0.820939,0,0.015630,keep
208,4,0.074887,0.00442892,0.851117,0,0.016049,keep
209,4,0.086248,0.00394769,0.816206,0,0.016112,keep
210,4,0.090559,0.00371796,0.784260,0,0.015947,keep
211,4,0.083852,0.00373417,0.826590,0,0.015300,keep
212,4,0.106298,0.00360025,0.834814,0,0.015686,keep
213,4,0.091473,0.00382842,0.828503,0,0.015664,keep
214,4,0.068421,0.00435827,0.887511,0,0.015331,keep
215,4,0.113320,0.00495913,0.827616,0,0.015508,keep
216,4,0.127645,0.00386454,0.811578,0,0.015612,keep
217,4,0.113741,0.00380130,0.873657,0,0.015958,keep
218,4,0.085172,0.00364304,0.823988,0,0.015979,keep
219,4,0.087501,0.00365037,0.814327,0,0.016199,keep
220,4,0.123920,0.00355294,0.730530,0,0.015895,keep
221,4,0.139784,0.00344810,0.661835,0,0.015542,keep
222,4,0.235176,0.00293769,0.431341,0,0.015764,keep
223,4,0.148334,0.00392828,0.841720,0,0.016889,keep
224,4,0.111225,0.00425420,0.729423,0,0.016437,keep
225,4,0.227114,0.00377275,0.653455,0,0.016227,keep
226,4,0.110277,0.00407988,0.836474,0,0.016879,keep
227,4,0.098330,0.00375456,0.814941,0,0.016297,keep
228,4,0.102125,0.00362560,0.813072,0,0.018083,keep
229,4,0.096404,0.00366548,0.811122,0,0.016623,keep
230,4,0.129661,0.00353557,0.691878,0,0.015465,keep
231,4,0.109319,0.00381516,0.810254,0,0.015292,keep
232,4,0.112048,0.00403903,0.785811,0,0.015490,keep
233,4,0.087404,0.00370735,0.838783,0,0.016188,keep
234,4,0.085062,0.00380013,0.825485,0,0.015499,keep
235,4,0.106827,0.00368114,0.769325,0,0.015839,keep
236,4,0.106669,0.00333276,0.818706,0,0.015997,keep
237,4,0.113325,0.00357252,0.809759,0,0.015816,keep
238,4,0.117317,0.00360785,0.718486,0,0.015649,keep
239,4,0.094120,0.00340554,0.805158,0,0.016525,keep
240,4,0.094937,0.00344906,0.806555,0,0.016444,keep
241,4,0.113163,0.00315623,0.765543,0,0.015671,keep
242,4,0.090608,0.00315411,0.808650,0,0.015407,keep
243,4,0.096235,0.00305952,0.771928,0,0.015680,keep
244,4,0.155146,0.00323039,0.691782,0,0.015872,keep
245,4,0.101648,0.00296811,0.836223,0,0.015828,keep
246,4,0.098596,0.00297018,0.793991,0,0.015180,keep
247,4,0.115887,0.00265406,0.766722,0,0.015556,keep
248,4,0.080882,0.00286327,0.829997,0,0.015284,keep
249,4,0.080275,0.00278808,0.810910,0,0.015377,keep
250,4,0.080144,0.00274255,0.799220,0,0.015700,keep
251,4,0.120512,0.00289652,0.716241,0,0.015482,keep
252,4,0.134434,0.00264174,0.774851,0,0.015686,keep
253,4,0.144191,0.00276630,0.743016,0,0.016681,keep
254,4,0.262856,0.00278688,0.287785,0,0.016584,keep
255,4,0.127911,0.00257220,0.798446,0,0.015952,keep
256,4,0.108307,0.00243375,0.750328,0,0.016219,keep
257,4,0.131317,0.00268440,0.777663,0,0.016384,keep
258,4,0.137325,0.00272568,0.789474,0,0.016690,keep
259,4,0.100615,0.00288348,0.788733,0,0.016269,keep
260,4,0.096226,0.00321857,0.852034,0,0.016195,keep
261,4,0.087637,0.00319960,0.835591,0,0.016560,keep
262,4,0.070803,0.00314815,0.861491,0,0.016363,keep
263,4,0.083707,0.00307900,0.876372,0,0.015957,keep
264,4,0.084859,0.00309195,0.787629,0,0.015364,keep
265,4,0.115691,0.00252399,0.836299,0,0.015233,keep
266,4,0.122013,0.00227477,0.750987,0,0.015024,keep
267,4,0.133475,0.00236906,0.706571,0,0.015306,keep
268,4,0.118771,0.00255538,0.747780,0,0.016594,keep
269,4,0.142373,0.00251823,0.718772,0,0.016160,keep
270,4,0.111712,0.00259283,0.808048,0,0.017480,keep
271,4,0.088669,0.00263428,0.788814,0,0.015206,keep
272,4,0.163665,0.00206148,0.678378,0,0.015498,zoom_in_to_8
273,8,0.111676,0.00241386,0.820235,0,0.015561,keep
274,8,0.098229,0.00231875,0.767956,0,0.015198,keep
275,8,0.155504,0.00274669,0.735585,0,0.015851,keep
276,8,0.117790,0.00262887,0.784479,0,0.015883,keep
277,8,0.114134,0.00294717,0.839173,0,0.015372,zoom_out_to_4
278,4,0.100213,0.00342343,0.835801,0,0.016172,keep
279,4,0.079213,0.00373421,0.853358,0,0.016734,keep
280,4,0.148425,0.00327617,0.755128,0,0.016123,keep
281,4,0.071319,0.00302514,0.863643,0,0.015868,keep
282,4,0.074567,0.00292553,0.843669,0,0.016703,keep
283,4,0.111274,0.00250212,0.800629,0,0.015422,keep
284,4,0.107967,0.00265365,0.822145,0,0.015446,keep
285,4,0.156353,0.00290612,0.705359,0,0.015804,keep
286,4,0.116054,0.00332073,0.836868,0,0.015763,keep
287,4,0.067612,0.00347219,0.868721,0,0.015734,keep
288,4,0.078428,0.00370928,0.843617,0,0.015843,keep
289,4,0.080750,0.00365159,0.848577,0,0.016721,keep
290,4,0.105222,0.00376143,0.796585,0,0.016093,keep
291,4,0.097863,0.00372234,0.777876,0,0.015815,keep
292,4,0.081683,0.00347780,0.874861,0,0.015831,keep
293,4,0.099228,0.00306082,0.829880,0,0.015708,keep
294,4,0.102669,0.00272812,0.823609,0,0.015835,keep
295,4,0.090750,0.00271207,0.833563,0,0.015874,keep
296,4,0.135264,0.00288548,0.728526,0,0.016339,keep
297,4,0.115056,0.00312722,0.799735,0,0.015861,keep
298,4,0.119903,0.00346519,0.780029,0,0.015638,keep
299,4,0.084068,0.00376541,0.828203,0,0.015811,keep
300,4,0.085302,0.00399279,0.797942,0,0.015626,keep
301,4,0.095701,0.00407369,0.770615,0,0.015290,keep
302,4,0.078098,0.00403913,0.803723,0,0.015264,keep
303,4,0.081868,0.00380979,0.808789,0,0.016086,keep
304,4,0.077814,0.00359129,0.816425,0,0.015160,keep
305,4,0.084010,0.00348726,0.827024,0,0.015468,keep
