frame,zoom_level,uncertainty,area,conf,lost,latency,command
203,1,0.210517,0.21169068,0.354159,0,0.016232,keep
204,1,0.228472,0.21288276,0.301930,0,0.015935,keep
205,1,0.211987,0.20800400,0.372800,0,0.016237,keep
206,1,0.272443,0.24141845,0.357622,0,0.015854,keep
207,1,0.296837,0.28096712,0.225753,0,0.015944,keep
208,1,0.297674,0.29802453,0.342531,0,0.016316,keep
209,1,0.343162,0.30902499,0.216502,0,0.016108,keep
210,1,0.261837,0.28774562,0.306883,0,0.016299,keep
211,1,0.278705,0.25668514,0.239712,0,0.016663,keep
212,1,0.279775,0.20739134,0.278676,0,0.016743,keep
213,1,0.279531,0.20051694,0.225367,0,0.016134,keep
214,1,0.272718,0.19832979,0.236498,0,0.015900,keep
215,1,0.229207,0.19957065,0.335808,0,0.015845,keep
216,1,0.230774,0.19301942,0.295876,0,0.015949,keep
217,1,0.234719,0.19146757,0.293227,0,0.015827,keep
218,1,0.311404,0.18781382,0.425000,1,0.015941,keep
219,1,0.378320,0.18414053,0.361250,2,0.015986,keep
220,1,0.314597,0.19611647,0.102014,0,0.015926,keep
221,1,0.275434,0.19104613,0.201906,0,0.015664,keep
222,1,0.313028,0.21480074,0.183364,0,0.016384,keep
223,1,0.307499,0.24275123,0.139459,0,0.016096,keep
224,1,0.290489,0.23549725,0.227936,0,0.016046,keep
225,1,0.251272,0.22922104,0.265922,0,0.016276,keep
226,1,0.239658,0.22876692,0.268064,0,0.015810,keep
227,1,0.307437,0.22512668,0.106232,0,0.016400,keep
228,1,0.356985,0.30470184,0.103235,0,0.017235,keep
229,1,0.286406,0.29941661,0.189897,0,0.016247,keep
230,1,0.288871,0.28107639,0.161718,0,0.016095,keep
231,1,0.258044,0.26810412,0.223875,0,0.015685,keep
232,1,0.256583,0.27479066,0.246234,0,0.015602,keep
233,1,0.302464,0.29887198,0.122986,0,0.015309,keep
234,1,0.312671,0.31088718,0.425000,1,0.015250,keep
235,1,0.531386,0.09525395,0.108475,0,0.015469,keep
236,1,0.429610,0.07254157,0.123246,0,0.015973,keep
237,1,0.411215,0.03789008,0.187480,0,0.015916,keep
238,1,0.450878,0.02684670,0.156483,0,0.015898,zoom_in_to_2
239,2,0.379170,0.01914710,0.300541,0,0.017215,keep
240,2,0.422793,0.02951214,0.257169,0,0.016931,keep
241,2,0.322357,0.02976360,0.105440,0,0.016753,keep
242,2,0.314059,0.03282513,0.128896,0,0.017294,keep
243,2,0.454300,0.00702053,0.129616,0,0.017215,zoom_in_to_4
244,4,0.435304,0.01732971,0.496310,0,0.016651,cooldown_keep
245,4,0.280478,0.02387915,0.366013,0,0.016588,cooldown_keep
246,4,0.304965,0.02099568,0.179206,0,0.016902,cooldown_keep
247,4,0.287959,0.02253229,0.258597,0,0.016765,cooldown_keep
248,4,0.312697,0.01880539,0.444916,0,0.016467,zoom_out_to_2
249,2,0.309474,0.02136604,0.198461,0,0.016748,keep
250,2,0.296850,0.02257120,0.188583,0,0.017062,keep
251,2,0.307033,0.02100660,0.159170,0,0.016680,keep
252,2,0.261170,0.02164824,0.275048,0,0.016590,keep
253,2,0.257307,0.02485729,0.284490,0,0.016298,keep
254,2,0.277235,0.02336738,0.214631,0,0.016058,keep
255,2,0.247514,0.02469699,0.274062,0,0.017204,keep
256,2,0.257184,0.02399860,0.226656,0,0.016742,keep
257,2,0.504606,0.06819333,0.177847,0,0.017789,zoom_out_to_1
258,1,0.400764,0.05135057,0.174874,0,0.016798,keep
259,1,0.339908,0.03575711,0.185608,0,0.015846,keep
260,1,0.300384,0.03812981,0.204947,0,0.018138,keep
261,1,0.302447,0.03257998,0.226287,0,0.017585,cooldown_keep
262,1,0.283105,0.03173161,0.186281,0,0.017493,zoom_in_to_2
263,2,0.289610,0.03330189,0.170295,0,0.018287,keep
